route_id,dep_airport
396,Baltimore/Washington International Thurgood Marshall Airport
397,Baltimore/Washington International Thurgood Marshall Airport
398,Baltimore/Washington International Thurgood Marshall Airport
399,Baltimore/Washington International Thurgood Marshall Airport
400,Baltimore/Washington International Thurgood Marshall Airport
401,Baltimore/Washington International Thurgood Marshall Airport
402,Baltimore/Washington International Thurgood Marshall Airport
403,Baltimore/Washington International Thurgood Marshall Airport
404,Baltimore/Washington International Thurgood Marshall Airport
405,Baltimore/Washington International Thurgood Marshall Airport
406,Baltimore/Washington International Thurgood Marshall Airport
407,Baltimore/Washington International Thurgood Marshall Airport
408,Baltimore/Washington International Thurgood Marshall Airport
409,Baltimore/Washington International Thurgood Marshall Airport
410,Baltimore/Washington International Thurgood Marshall Airport
411,Baltimore/Washington International Thurgood Marshall Airport
412,Baltimore/Washington International Thurgood Marshall Airport
413,Baltimore/Washington International Thurgood Marshall Airport
414,Baltimore/Washington International Thurgood Marshall Airport
415,Baltimore/Washington International Thurgood Marshall Airport
416,Baltimore/Washington International Thurgood Marshall Airport
417,Bill & Hillary Clinton National Airport/Adams Field
418,Bill & Hillary Clinton National Airport/Adams Field
419,Bill & Hillary Clinton National Airport/Adams Field
420,Bradley International Airport
421,Bradley International Airport
422,Bradley International Airport
423,Branson Airport
424,Buffalo Niagara International Airport
425,Buffalo Niagara International Airport
426,Buffalo Niagara International Airport
427,Cancun International Airport
428,Charlotte Douglas International Airport
429,Charlotte Douglas International Airport
430,Chicago Midway International Airport
431,Chicago Midway International Airport
432,Chicago Midway International Airport
433,Chicago Midway International Airport
434,Chicago Midway International Airport
435,Chicago Midway International Airport
436,Chicago Midway International Airport
437,Chicago Midway International Airport
438,Chicago Midway International Airport
439,Chicago Midway International Airport
440,Chicago Midway International Airport
441,Cleveland Hopkins International Airport
442,Corpus Christi International Airport
443,Dallas Fort Worth International Airport
444,Dallas Love Field
445,Dallas Love Field
446,Dallas Love Field
447,Dallas Love Field
448,Dallas Love Field
449,Dallas Love Field
450,Dallas Love Field
451,Dallas Love Field
452,Dallas Love Field
453,Dallas Love Field
454,Dallas Love Field
455,Dallas Love Field
456,Dallas Love Field
457,Dallas Love Field
458,Dallas Love Field
459,Denver International Airport
460,Denver International Airport
461,Denver International Airport
462,Denver International Airport
463,Denver International Airport
464,Denver International Airport
465,Denver International Airport
466,Denver International Airport
467,Denver International Airport
468,Denver International Airport
469,Denver International Airport
470,Denver International Airport
471,Denver International Airport
472,Denver International Airport
473,Denver International Airport
474,Des Moines International Airport
475,Detroit Metropolitan Wayne County Airport
476,El Paso International Airport
477,El Paso International Airport
478,El Paso International Airport
479,El Paso International Airport
480,El Paso International Airport
481,El Paso International Airport
482,El Paso International Airport
483,Eppley Airfield
484,Eppley Airfield
485,Fort Lauderdale Hollywood International Airport
486,Fort Lauderdale Hollywood International Airport
487,Fort Lauderdale Hollywood International Airport
488,Fort Lauderdale Hollywood International Airport
489,General Edward Lawrence Logan International Airport
490,General Edward Lawrence Logan International Airport
491,General Edward Lawrence Logan International Airport
492,General Mitchell International Airport
493,General Mitchell International Airport
494,General Mitchell International Airport
495,General Mitchell International Airport
496,General Mitchell International Airport
497,Hartsfield Jackson Atlanta International Airport
498,Hartsfield Jackson Atlanta International Airport
499,Hartsfield Jackson Atlanta International Airport
500,Hartsfield Jackson Atlanta International Airport
501,Hartsfield Jackson Atlanta International Airport
502,Hartsfield Jackson Atlanta International Airport
503,Hartsfield Jackson Atlanta International Airport
504,Hartsfield Jackson Atlanta International Airport
505,Hartsfield Jackson Atlanta International Airport
506,Hartsfield Jackson Atlanta International Airport
507,Hartsfield Jackson Atlanta International Airport
508,Hartsfield Jackson Atlanta International Airport
509,Hartsfield Jackson Atlanta International Airport
510,Hartsfield Jackson Atlanta International Airport
511,Hartsfield Jackson Atlanta International Airport
512,Hartsfield Jackson Atlanta International Airport
513,Hartsfield Jackson Atlanta International Airport
514,Hartsfield Jackson Atlanta International Airport
515,Hartsfield Jackson Atlanta International Airport
516,Hartsfield Jackson Atlanta International Airport
517,Hartsfield Jackson Atlanta International Airport
518,Hartsfield Jackson Atlanta International Airport
519,Hartsfield Jackson Atlanta International Airport
520,Hartsfield Jackson Atlanta International Airport
521,Hartsfield Jackson Atlanta International Airport
522,Hartsfield Jackson Atlanta International Airport
523,Indianapolis International Airport
524,Indianapolis International Airport
525,Indianapolis International Airport
526,Indianapolis International Airport
527,Indianapolis International Airport
528,Indianapolis International Airport
529,Jackson-Medgar Wiley Evers International Airport
530,Jacksonville International Airport
531,Jacksonville International Airport
532,James M Cox Dayton International Airport
533,James M Cox Dayton International Airport
534,John Glenn Columbus International Airport
535,John Glenn Columbus International Airport
536,John Glenn Columbus International Airport
537,John Glenn Columbus International Airport
538,John Glenn Columbus International Airport
539,Kansas City International Airport
540,Kansas City International Airport
541,Kansas City International Airport
542,Kansas City International Airport
543,Kansas City International Airport
544,Kansas City International Airport
545,Kansas City International Airport
546,Kansas City International Airport
547,Kansas City International Airport
548,Kansas City International Airport
549,Kansas City International Airport
550,Kansas City International Airport
551,Kansas City International Airport
552,Kansas City International Airport
553,Los Angeles International Airport
554,Los Angeles International Airport
555,Los Angeles International Airport
556,Los Angeles International Airport
557,Los Angeles International Airport
558,Los Angeles International Airport
559,Los Angeles International Airport
560,Los Angeles International Airport
561,Los Angeles International Airport
562,Los Angeles International Airport
563,Los Angeles International Airport
564,Los Angeles International Airport
565,Los Angeles International Airport
566,Los Angeles International Airport
567,Los Angeles International Airport
568,Los Angeles International Airport
569,Louis Armstrong New Orleans International Airport
570,Louis Armstrong New Orleans International Airport
571,Louis Armstrong New Orleans International Airport
572,Louis Armstrong New Orleans International Airport
573,Louis Armstrong New Orleans International Airport
574,Louis Armstrong New Orleans International Airport
575,Louisville International Standiford Field
576,Louisville International Standiford Field
577,Lubbock Preston Smith International Airport
578,Lubbock Preston Smith International Airport
579,Luis Munoz Marin International Airport
580,Luis Munoz Marin International Airport
581,Lynden Pindling International Airport
582,Manchester-Boston Regional Airport
583,Manchester-Boston Regional Airport
584,McCarran International Airport
585,McCarran International Airport
586,McCarran International Airport
587,McCarran International Airport
588,McCarran International Airport
589,McCarran International Airport
590,McCarran International Airport
591,McCarran International Airport
592,McCarran International Airport
593,McCarran International Airport
594,McCarran International Airport
595,McCarran International Airport
596,McCarran International Airport
597,McCarran International Airport
598,McCarran International Airport
599,McCarran International Airport
600,McCarran International Airport
601,McCarran International Airport
602,McCarran International Airport
603,McCarran International Airport
604,McCarran International Airport
605,McCarran International Airport
606,McCarran International Airport
607,McCarran International Airport
608,McCarran International Airport
609,McCarran International Airport
610,McCarran International Airport
611,Memphis International Airport
612,Metropolitan Oakland International Airport
613,Metropolitan Oakland International Airport
614,Metropolitan Oakland International Airport
615,Metropolitan Oakland International Airport
616,Metropolitan Oakland International Airport
617,Metropolitan Oakland International Airport
618,Metropolitan Oakland International Airport
619,Metropolitan Oakland International Airport
620,Midland International Airport
621,Midland International Airport
622,Midland International Airport
623,Minneapolis-St Paul International/Wold-Chamberlain Airport
624,Minneapolis-St Paul International/Wold-Chamberlain Airport
625,Nashville International Airport
626,Nashville International Airport
627,Nashville International Airport
628,Nashville International Airport
629,Nashville International Airport
630,Nashville International Airport
631,Nashville International Airport
632,Nashville International Airport
633,Nashville International Airport
634,Nashville International Airport
635,Nashville International Airport
636,Nashville International Airport
637,Norfolk International Airport
638,Norman Y. Mineta San Jose International Airport
639,Norman Y. Mineta San Jose International Airport
640,Norman Y. Mineta San Jose International Airport
641,Norman Y. Mineta San Jose International Airport
642,Norman Y. Mineta San Jose International Airport
643,Norman Y. Mineta San Jose International Airport
644,Norman Y. Mineta San Jose International Airport
645,Northwest Florida Beaches International Airport
646,Ontario International Airport
647,Ontario International Airport
648,Ontario International Airport
649,Ontario International Airport
650,Orlando International Airport
651,Orlando International Airport
652,Orlando International Airport
653,Orlando International Airport
654,Orlando International Airport
655,Orlando International Airport
656,Orlando International Airport
657,Orlando International Airport
658,Orlando International Airport
659,Orlando International Airport
660,Orlando International Airport
661,Orlando International Airport
662,Orlando International Airport
663,Orlando International Airport
664,Orlando International Airport
665,Orlando International Airport
666,Orlando International Airport
667,Orlando International Airport
668,Palm Beach International Airport
669,Palm Beach International Airport
670,Philadelphia International Airport
671,Philadelphia International Airport
672,Philadelphia International Airport
673,Philadelphia International Airport
674,Phoenix Sky Harbor International Airport
675,Phoenix Sky Harbor International Airport
676,Phoenix Sky Harbor International Airport
677,Phoenix Sky Harbor International Airport
678,Phoenix Sky Harbor International Airport
679,Phoenix Sky Harbor International Airport
680,Phoenix Sky Harbor International Airport
681,Phoenix Sky Harbor International Airport
682,Phoenix Sky Harbor International Airport
