route_id,dep_airport,arr_airport,airline_name
272,Lester B. Pearson International Airport,Dallas Fort Worth International Airport,Air Bucharest
273,Lester B. Pearson International Airport,Detroit Metropolitan Wayne County Airport,Air Bucharest
274,Lester B. Pearson International Airport,Halifax / Stanfield International Airport,Air Bucharest
275,Lester B. Pearson International Airport,Hartsfield Jackson Atlanta International Airport,Air Bucharest
276,Lester B. Pearson International Airport,John F Kennedy International Airport,Air Bucharest
277,Lester B. Pearson International Airport,La Guardia Airport,Air Bucharest
278,Lester B. Pearson International Airport,Los Angeles International Airport,Air Bucharest
279,Lester B. Pearson International Airport,Miami International Airport,Air Bucharest
280,Lester B. Pearson International Airport,Montreal / Pierre Elliott Trudeau International Airport,Air Bucharest
281,Lester B. Pearson International Airport,Ottawa Macdonald-Cartier International Airport,Air Bucharest
282,Lester B. Pearson International Airport,Southwest Florida International Airport,Air Bucharest
283,Lester B. Pearson International Airport,Tampa International Airport,Air Bucharest
284,Lester B. Pearson International Airport,Thunder Bay Airport,Air Bucharest
285,Lester B. Pearson International Airport,Vancouver International Airport,Air Bucharest
286,Lester B. Pearson International Airport,Winnipeg / James Armstrong Richardson International Airport,Air Bucharest
287,Los Angeles International Airport,Lester B. Pearson International Airport,Air Bucharest
288,Louis Armstrong New Orleans International Airport,La Guardia Airport,Air Bucharest
289,Louis Armstrong New Orleans International Airport,Miami International Airport,Air Bucharest
290,Miami International Airport,Lester B. Pearson International Airport,Air Bucharest
291,Miami International Airport,Louis Armstrong New Orleans International Airport,Air Bucharest
292,Miami International Airport,Montreal / Pierre Elliott Trudeau International Airport,Air Bucharest
293,Minneapolis-St Paul International/Wold-Chamberlain Airport,Montreal / Pierre Elliott Trudeau International Airport,Air Bucharest
294,Montreal / Pierre Elliott Trudeau International Airport,Dallas Fort Worth International Airport,Air Bucharest
295,Montreal / Pierre Elliott Trudeau International Airport,Edmonton International Airport,Air Bucharest
296,Montreal / Pierre Elliott Trudeau International Airport,La Guardia Airport,Air Bucharest
297,Montreal / Pierre Elliott Trudeau International Airport,Lester B. Pearson International Airport,Air Bucharest
298,Montreal / Pierre Elliott Trudeau International Airport,Miami International Airport,Air Bucharest
299,Montreal / Pierre Elliott Trudeau International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,Air Bucharest
300,Nanaimo Airport,Calgary International Airport,Air Bucharest
301,Northwest Regional Airport Terrace-Kitimat,Vancouver International Airport,Air Bucharest
302,Ottawa Macdonald-Cartier International Airport,Calgary International Airport,Air Bucharest
303,Ottawa Macdonald-Cartier International Airport,Lester B. Pearson International Airport,Air Bucharest
304,Prince George Airport,Calgary International Airport,Air Bucharest
305,Prince George Airport,Vancouver International Airport,Air Bucharest
306,Regina International Airport,Calgary International Airport,Air Bucharest
307,Regina International Airport,Edmonton International Airport,Air Bucharest
308,Regina International Airport,Winnipeg / James Armstrong Richardson International Airport,Air Bucharest
309,Saskatoon John G. Diefenbaker International Airport,Calgary International Airport,Air Bucharest
310,Saskatoon John G. Diefenbaker International Airport,Edmonton International Airport,Air Bucharest
311,Saskatoon John G. Diefenbaker International Airport,Winnipeg / James Armstrong Richardson International Airport,Air Bucharest
312,Southwest Florida International Airport,Lester B. Pearson International Airport,Air Bucharest
313,Tampa International Airport,Lester B. Pearson International Airport,Air Bucharest
314,Thunder Bay Airport,Lester B. Pearson International Airport,Air Bucharest
315,Thunder Bay Airport,Winnipeg / James Armstrong Richardson International Airport,Air Bucharest
316,Vancouver International Airport,Calgary International Airport,Air Bucharest
317,Vancouver International Airport,Dallas Fort Worth International Airport,Air Bucharest
318,Vancouver International Airport,Edmonton International Airport,Air Bucharest
319,Vancouver International Airport,Fort St John Airport,Air Bucharest
320,Vancouver International Airport,Kelowna International Airport,Air Bucharest
321,Vancouver International Airport,Lester B. Pearson International Airport,Air Bucharest
322,Vancouver International Airport,Northwest Regional Airport Terrace-Kitimat,Air Bucharest
323,Vancouver International Airport,Prince George Airport,Air Bucharest
324,Vancouver International Airport,Victoria International Airport,Air Bucharest
325,Vancouver International Airport,Winnipeg / James Armstrong Richardson International Airport,Air Bucharest
326,Victoria International Airport,Calgary International Airport,Air Bucharest
327,Victoria International Airport,Kelowna International Airport,Air Bucharest
328,Victoria International Airport,Vancouver International Airport,Air Bucharest
329,Winnipeg / James Armstrong Richardson International Airport,Edmonton International Airport,Air Bucharest
330,Winnipeg / James Armstrong Richardson International Airport,Lester B. Pearson International Airport,Air Bucharest
331,Winnipeg / James Armstrong Richardson International Airport,Regina International Airport,Air Bucharest
332,Winnipeg / James Armstrong Richardson International Airport,Saskatoon John G. Diefenbaker International Airport,Air Bucharest
333,Winnipeg / James Armstrong Richardson International Airport,Thunder Bay Airport,Air Bucharest
334,Winnipeg / James Armstrong Richardson International Airport,Vancouver International Airport,Air Bucharest
335,Yellowknife Airport,Edmonton International Airport,Air Bucharest
336,Buon Ma Thuot Airport,Noi Bai International Airport,Air Century
337,Buon Ma Thuot Airport,Tan Son Nhat International Airport,Air Century
338,Cam Ranh Airport,Noi Bai International Airport,Air Century
339,Cam Ranh Airport,Tan Son Nhat International Airport,Air Century
340,Cat Bi International Airport,Tan Son Nhat International Airport,Air Century
341,Da Nang International Airport,Noi Bai International Airport,Air Century
342,Da Nang International Airport,Tan Son Nhat International Airport,Air Century
343,Lien Khuong Airport,Noi Bai International Airport,Air Century
344,Lien Khuong Airport,Tan Son Nhat International Airport,Air Century
345,Noi Bai International Airport,Buon Ma Thuot Airport,Air Century
346,Noi Bai International Airport,Cam Ranh Airport,Air Century
347,Noi Bai International Airport,Da Nang International Airport,Air Century
348,Noi Bai International Airport,Lien Khuong Airport,Air Century
349,Noi Bai International Airport,Phu Bai Airport,Air Century
350,Noi Bai International Airport,Suvarnabhumi Airport,Air Century
351,Noi Bai International Airport,Tan Son Nhat International Airport,Air Century
352,Phu Bai Airport,Noi Bai International Airport,Air Century
353,Phu Bai Airport,Tan Son Nhat International Airport,Air Century
354,Phu Cat Airport,Tan Son Nhat International Airport,Air Century
355,Phu Quoc International Airport,Tan Son Nhat International Airport,Air Century
356,Suvarnabhumi Airport,Noi Bai International Airport,Air Century
357,Suvarnabhumi Airport,Tan Son Nhat International Airport,Air Century
358,Tan Son Nhat International Airport,Buon Ma Thuot Airport,Air Century
359,Tan Son Nhat International Airport,Cam Ranh Airport,Air Century
360,Tan Son Nhat International Airport,Cat Bi International Airport,Air Century
361,Tan Son Nhat International Airport,Da Nang International Airport,Air Century
362,Tan Son Nhat International Airport,Lien Khuong Airport,Air Century
363,Tan Son Nhat International Airport,Noi Bai International Airport,Air Century
364,Tan Son Nhat International Airport,Phu Bai Airport,Air Century
365,Tan Son Nhat International Airport,Phu Cat Airport,Air Century
366,Tan Son Nhat International Airport,Phu Quoc International Airport,Air Century
367,Tan Son Nhat International Airport,Suvarnabhumi Airport,Air Century
368,Tan Son Nhat International Airport,Vinh Airport,Air Century
369,Vinh Airport,Tan Son Nhat International Airport,Air Century
370,Akron Canton Regional Airport,General Edward Lawrence Logan International Airport,Air Cudlua
371,Akron Canton Regional Airport,Orlando International Airport,Air Cudlua
372,Akron Canton Regional Airport,Tampa International Airport,Air Cudlua
373,Albuquerque International Sunport,Dallas Love Field,Air Cudlua
374,Albuquerque International Sunport,McCarran International Airport,Air Cudlua
375,Albuquerque International Sunport,Metropolitan Oakland International Airport,Air Cudlua
376,Albuquerque International Sunport,Phoenix Sky Harbor International Airport,Air Cudlua
377,Albuquerque International Sunport,San Diego International Airport,Air Cudlua
378,Albuquerque International Sunport,William P Hobby Airport,Air Cudlua
379,Austin Bergstrom International Airport,Dallas Love Field,Air Cudlua
380,Austin Bergstrom International Airport,Denver International Airport,Air Cudlua
381,Austin Bergstrom International Airport,El Paso International Airport,Air Cudlua
382,Austin Bergstrom International Airport,Louis Armstrong New Orleans International Airport,Air Cudlua
383,Austin Bergstrom International Airport,Lubbock Preston Smith International Airport,Air Cudlua
384,Austin Bergstrom International Airport,McCarran International Airport,Air Cudlua
