route_id,arr_airport
509,Norfolk International Airport
510,Orlando International Airport
511,Palm Beach International Airport
512,Philadelphia International Airport
513,Pittsburgh International Airport
514,Punta Cana International Airport
515,Queen Beatrix International Airport
516,Raleigh Durham International Airport
517,Richmond International Airport
518,Sangster International Airport
519,St Louis Lambert International Airport
520,Tampa International Airport
521,Will Rogers World Airport
522,William P Hobby Airport
523,Baltimore/Washington International Thurgood Marshall Airport
524,Denver International Airport
525,Hartsfield Jackson Atlanta International Airport
526,Kansas City International Airport
527,Orlando International Airport
528,Phoenix Sky Harbor International Airport
529,William P Hobby Airport
530,Baltimore/Washington International Thurgood Marshall Airport
531,William P Hobby Airport
532,Hartsfield Jackson Atlanta International Airport
533,Tampa International Airport
534,Baltimore/Washington International Thurgood Marshall Airport
535,Hartsfield Jackson Atlanta International Airport
536,Orlando International Airport
537,St Louis Lambert International Airport
538,Tampa International Airport
539,Albuquerque International Sunport
540,Baltimore/Washington International Thurgood Marshall Airport
541,Dallas Love Field
542,Denver International Airport
543,Fort Lauderdale Hollywood International Airport
544,General Edward Lawrence Logan International Airport
545,Hartsfield Jackson Atlanta International Airport
546,Indianapolis International Airport
547,Los Angeles International Airport
548,McCarran International Airport
549,Orlando International Airport
550,Phoenix Sky Harbor International Airport
551,Portland International Airport
552,San Diego International Airport
553,Albuquerque International Sunport
554,Austin Bergstrom International Airport
555,Chicago Midway International Airport
556,Denver International Airport
557,El Paso International Airport
558,Kansas City International Airport
559,McCarran International Airport
560,Metropolitan Oakland International Airport
561,Norman Y. Mineta San Jose International Airport
562,Phoenix Sky Harbor International Airport
563,Sacramento International Airport
564,Salt Lake City International Airport
565,San Francisco International Airport
566,St Louis Lambert International Airport
567,Tucson International Airport
568,William P Hobby Airport
569,Austin Bergstrom International Airport
570,Dallas Love Field
571,Nashville International Airport
572,Orlando International Airport
573,Tampa International Airport
574,William P Hobby Airport
575,Baltimore/Washington International Thurgood Marshall Airport
576,Hartsfield Jackson Atlanta International Airport
577,Austin Bergstrom International Airport
578,Dallas Love Field
579,Baltimore/Washington International Thurgood Marshall Airport
580,Orlando International Airport
581,Hartsfield Jackson Atlanta International Airport
582,Baltimore/Washington International Thurgood Marshall Airport
583,Orlando International Airport
584,Albuquerque International Sunport
585,Austin Bergstrom International Airport
586,Baltimore/Washington International Thurgood Marshall Airport
587,Buffalo Niagara International Airport
588,Chicago Midway International Airport
589,Denver International Airport
590,Des Moines International Airport
591,El Paso International Airport
592,Eppley Airfield
593,Kansas City International Airport
594,Los Angeles International Airport
595,Metropolitan Oakland International Airport
596,Midland International Airport
597,Norman Y. Mineta San Jose International Airport
598,Orlando International Airport
599,Phoenix Sky Harbor International Airport
600,Pittsburgh International Airport
601,Reno Tahoe International Airport
602,Rick Husband Amarillo International Airport
603,Sacramento International Airport
604,Salt Lake City International Airport
605,San Antonio International Airport
606,San Diego International Airport
607,San Francisco International Airport
608,Seattle Tacoma International Airport
609,Tucson International Airport
610,William P Hobby Airport
611,William P Hobby Airport
612,Chicago Midway International Airport
613,Los Angeles International Airport
614,McCarran International Airport
615,Ontario International Airport
616,Phoenix Sky Harbor International Airport
617,Portland International Airport
618,San Diego International Airport
619,Seattle Tacoma International Airport
620,Dallas Love Field
621,McCarran International Airport
622,William P Hobby Airport
623,Hartsfield Jackson Atlanta International Airport
624,St Louis Lambert International Airport
625,Austin Bergstrom International Airport
626,Baltimore/Washington International Thurgood Marshall Airport
627,Chicago Midway International Airport
628,General Edward Lawrence Logan International Airport
629,Jacksonville International Airport
630,Kansas City International Airport
631,Louis Armstrong New Orleans International Airport
632,Orlando International Airport
633,Philadelphia International Airport
634,Pittsburgh International Airport
635,Raleigh Durham International Airport
636,William P Hobby Airport
637,Hartsfield Jackson Atlanta International Airport
638,Los Angeles International Airport
639,McCarran International Airport
640,Ontario International Airport
641,Phoenix Sky Harbor International Airport
642,Portland International Airport
643,San Diego International Airport
644,Seattle Tacoma International Airport
645,William P Hobby Airport
646,McCarran International Airport
647,Metropolitan Oakland International Airport
648,Norman Y. Mineta San Jose International Airport
649,Sacramento International Airport
650,Austin Bergstrom International Airport
651,Baltimore/Washington International Thurgood Marshall Airport
652,Bradley International Airport
653,Buffalo Niagara International Airport
654,Chicago Midway International Airport
655,Indianapolis International Airport
656,John Glenn Columbus International Airport
657,Kansas City International Airport
658,Louis Armstrong New Orleans International Airport
