airline_name,airline_country
South African Non Scheduled Airways,South Africa
South Central Air,United States
South Coast Aviation,United Kingdom
South Pacific Island Airways,United States
South West Air,Canada
Southeast Airmotive,United States
Southern Air Charter,Bahamas
Southern Airways,United States
Southern Cargo Air Lines,Russia
Southern Cross Aviation,United States
Southern Ohio Aviation Sales,United States
Southern Right Air Charter,South Africa
Spanish Air Force,Spain
Special Scope Limited,United Kingdom
Spectrem Air,South Africa
Spectrum Air Service,United States
Spirit of Africa Airlines,Sudan
Stadium City Limited,United Kingdom
Star Air,Indonesia
Star Aviation,United Kingdom
Star Up,Peru
Star XL German Airlines,Germany
Starair,Ireland
Starspeed,United Kingdom
State Air Company Berkut,Kazakhstan
Stephenville Aviation Services,Canada
Stichting Vliegschool 16Hoven,Netherlands
Streamline,South Africa
Styrian Airways,Austria
Suburban Air Freight,United States
Sud Airlines,France
Sun Freight Logistics,Thailand
Sun Pacific International,United States
Sun West Airlines,United States
Sunbird Airlines,United States
Sundance Air,Venezuela
Sundorph Aeronautical Corporation,United States
Sunshine Air Tours,United States
Sunwest Aviation (Lindquist Investment),United States
Sunwest Home Aviation,Canada
Super Luza,Angola
Surninam International Victory Airline,Suriname
Survey Udara (Penas),Indonesia
Svenska Direktflyg,Sweden
Swazi Express Airways,Swaziland
Swedeways,Sweden
Swedish Airlines,Sweden
Swift Air (Interstate Equipment Leasing),United States
Swiss Air Force,Switzerland
Swiss Air-Ambulance,Switzerland
TAB Express International,United States
TAF Helicopters,Spain
TAG Aviation USA,United States
TAPC Aviatrans Aircompany,Uzbekistan
TG Aviation,United Kingdom
TLC Air,United States
TRAM,Mauritania
Taban Air Lines,Iran
Tadair,Spain
Taftan Airlines,Iran
Tag Aviation UK,United Kingdom
Tajikair,Tajikistan
Tajikstan,Tajikistan
Tamir Airways,Israel
Tango Bravo,France
Taquan Air Services,United States
Tar Heel Aviation,United States
Tas Aviation,United States
Tashkent Aircraft Production Corporation,Uzbekistan
Taunus Air Gmbh,Germany
Taxi Aereo Cozatl,Mexico
Taxi de Veracruz,Mexico
Taxirey,Mexico
Taxis Aereos De Parral,Mexico
Taxis Turisticos Marakame,Mexico
Tbilisi Aviation University,Georgia
Tecnicas Fotograficas,Spain
Teledyne Continental Motors,United States
Telford Aviation,United States
Temsco Helicopters,United States
